marca,modelo,tipo_vehiculo,año,precio,tipo_carroceria,combustible,transmision,cilindros,rendimiento_ciudad_kmL,capacidad_pasajeros,cajuela_litros,segmento,holograma,largo_m,ancho_m,altura_cm,costo_mantenimiento_anual,disponibilidad_refacciones,kilometraje_km,altura_libre_suelo_cm,tipo_aspiracion,estrellas_seguridad,conectividad,emisiones_CO2_gkm
Hyundai,Creta,nuevo,2025,395500,suv,gasolina,automática,4,14.9,5,429,suv_compacto,00,4.27,1.82,168,4000,media,0,20,Turbo,4,Sí,195.2
BYD,Qin DM-i,nuevo,2025,398900,sedan,híbrido,automática,4,19.5,5,510,sedán_eficiente,Exento,4.63,1.82,150,3000,media,0,15,Eléctrico,5,Sí,71.8
Chevrolet,Colorado,seminuevo,2020,399999,pickup,gasolina,automática,6,10.2,2,1800,pickup,0,5.27,1.86,179,7000,alta,88000,25,Turbo,3,No,189.1
Honda,CR-V,seminuevo,2020,399999,suv,gasolina,automática,4,14.2,5,621,suv_mediano,0,4.6,1.89,170,5600,alta,90000,22,Turbo,4,No,174.5
Ford,Territory,seminuevo,2023,403999,suv,gasolina,automática,4,13.5,5,570,suv_compacto,0,4.52,1.86,168,5000,alta,25000,19,Turbo,5,Sí,164.0
Kia,Seltos,nuevo,2025,425900,suv,gasolina,automática,4,15.2,5,405,suv_compacto,00,4.38,1.83,165,4200,media,0,22,Turbo,4,Sí,171.6
Skoda,Octavia,nuevo,2025,428500,sedan,gasolina,automática,4,15.8,5,600,sedán_familiar,00,4.69,1.82,147,4300,media,0,15,Turbo,4,No,124.0
Toyota,Corolla,nuevo,2025,428500,sedan,gasolina,automática,4,16.2,5,450,sedán_familiar,00,4.63,1.8,145,4500,alta,0,15,Turbo,4,No,131.1
Toyota,RAV4,seminuevo,2021,429999,suv,gasolina,automática,4,14.5,5,580,suv_mediano,0,4.63,1.86,169,5400,alta,78000,21,Natural,5,No,191.8
Hyundai,Starex,nuevo,2025,435800,minivan,gasolina,automática,4,12.8,7,750,familiar_7plazas,00,5.1,1.99,190,4500,media,0,16,Natural,4,Sí,178.2
Mazda,CX-30,nuevo,2025,445000,suv,gasolina,automática,4,14.8,5,430,suv_compacto,00,4.4,1.83,160,4800,media,0,18,Turbo,5,No,178.5
Jeep,Renegade,nuevo,2025,456900,suv,gasolina,automática,4,13.8,5,351,suv_compacto,00,4.26,1.81,165,5000,media,0,20,Turbo,4,Sí,170.5
Acura,RDX,seminuevo,2020,461999,suv,gasolina,automática,4,13.2,5,564,suv_premium,0,4.67,1.89,168,6500,media,88000,19,Natural,3,No,173.3
Toyota,Corolla Cross,nuevo,2025,475800,suv,gasolina,automática,4,15.5,5,430,suv_compacto,00,4.4,1.83,162,4600,alta,0,19,Turbo,4,No,206.8
Hyundai,Tucson,nuevo,2025,485900,suv,gasolina,automática,4,14.5,5,620,suv_mediano,00,4.67,1.86,167,4600,media,0,21,Turbo,3,Sí,192.4
Volkswagen,Jetta GLI,nuevo,2025,489500,sedan,gasolina,automática,4,13.5,5,405,deportivo,00,4.71,1.86,149,6000,alta,0,15,Natural,4,Sí,144.4
Ford,Ranger,nuevo,2025,489900,pickup,gasolina,automática,6,10.5,2,1700,pickup,00,5.36,1.86,180,6500,alta,0,22,Natural,5,No,186.8
Toyota,Corolla Hybrid,nuevo,2025,489900,sedan,híbrido,automática,4,22.5,5,430,sedán_eficiente,Exento,4.63,1.8,145,3500,alta,0,14,Eléctrico,5,Sí,99.2
Honda,Civic Hybrid,nuevo,2025,498500,sedan,híbrido,automática,4,21.8,5,450,sedán_eficiente,Exento,4.65,1.8,145,3600,alta,0,15,Eléctrico,4,Sí,76.5
Kia,Sportage,nuevo,2025,498900,suv,gasolina,automática,4,14.2,5,602,suv_mediano,00,4.6,1.86,170,4800,media,0,21,Turbo,4,No,179.0
Toyota,RAV4 Hybrid,seminuevo,2022,498999,suv,híbrido,automática,4,18.5,5,550,suv_eficiente,Exento,4.63,1.86,169,4200,alta,55000,21,Eléctrico,5,Sí,109.6
Honda,Accord,nuevo,2025,512000,sedan,gasolina,automática,4,15.8,5,530,sedán_familiar,00,4.88,1.86,147,5000,alta,0,16,Turbo,5,Sí,145.6
Nissan,Qashqai,nuevo,2025,512500,suv,gasolina,automática,4,13.8,5,610,suv_mediano,00,4.64,1.86,168,4900,alta,0,20,Natural,3,Sí,187.8
Chevrolet,Colorado,nuevo,2025,512500,pickup,gasolina,automática,6,10.2,2,1800,pickup,00,5.27,1.86,179,6800,alta,0,22,Natural,5,No,207.4
Mazda,CX-5,nuevo,2025,512500,suv,gasolina,automática,4,14.8,5,580,suv_mediano,00,4.57,1.84,169,5000,media,0,21,Natural,4,Sí,202.1
Honda,CR-V Hybrid,seminuevo,2021,515000,suv,híbrido,automática,4,17.8,5,600,suv_eficiente,Exento,4.6,1.89,170,4400,alta,72000,22,Turbo,3,Sí,101.0
Toyota,RAV4,nuevo,2025,529900,suv,gasolina,automática,4,14.5,5,580,suv_mediano,00,4.63,1.86,169,5200,alta,0,18,Turbo,4,Sí,171.5
Honda,CR-V,nuevo,2025,545000,suv,gasolina,automática,4,14.2,5,621,suv_mediano,00,4.6,1.89,170,5400,alta,0,19,Turbo,4,Sí,161.6
Volvo,XC40,seminuevo,2021,563999,suv,híbrido,automática,4,14.5,5,460,suv_premium,Exento,4.43,1.86,165,7000,media,75000,22,Turbo,4,No,82.6
BMW,X3,seminuevo,2020,589999,suv,gasolina,automática,4,12.5,5,645,suv_premium,0,4.71,1.89,167,9000,media,95000,18,Natural,5,No,173.4
Toyota,RAV4 Hybrid,nuevo,2025,598900,suv,híbrido,automática,4,18.5,5,550,suv_eficiente,Exento,4.63,1.86,169,4000,alta,0,20,Turbo,4,Sí,78.4
Honda,CR-V Hybrid,nuevo,2025,615000,suv,híbrido,automática,4,17.8,5,600,suv_eficiente,Exento,4.6,1.89,170,4200,alta,0,19,Turbo,5,Sí,107.7
Ford,Mustang,nuevo,2025,645900,coupe,gasolina,automática,6,11.8,4,378,deportivo,00,4.78,1.93,146,7500,alta,0,15,Turbo,5,No,155.1
Audi,Q3,nuevo,2025,689500,suv,gasolina,automática,4,13.2,5,589,suv_premium,00,4.48,1.85,159,8000,media,0,20,Turbo,5,Sí,175.7
BMW,X3,nuevo,2025,749900,suv,gasolina,automática,4,12.5,5,645,suv_premium,00,4.71,1.89,167,8500,media,0,18,Turbo,3,Sí,192.8
Kia,Rio,nuevo,2025,593300,suv,gasolina,automática,4,15.4,5,616,suv_mediano,00,4.23,1.79,167,6465,alta,0,19,Turbo,5,No,179.8
Mitsubishi,Outlander Sport,nuevo,2024,370300,suv,gasolina,automática,6,14.2,7,479,suv_compacto,00,4.39,1.89,163,5556,alta,0,20,Turbo,4,Sí,205.7
Chrysler,Pacifica,seminuevo,2022,234000,sedan,gasolina,automática,6,16.6,5,492,sedán_familiar,0,4.7,1.82,142,4185,alta,52842,13,Natural,4,No,138.4
Citroën,C4,seminuevo,2022,323900,suv,gasolina,automática,6,16.2,5,487,suv_compacto,0,4.68,1.81,174,5105,alta,76878,19,Natural,4,No,173.2
RAM,1500,seminuevo,2021,316400,suv,gasolina,manual,4,16.0,7,473,suv_compacto,0,4.44,1.81,177,5076,media,136484,20,Natural,4,No,172.3
Chery,Tiggo 2,nuevo,2025,533500,sedan,gasolina,automática,6,14.3,5,574,sedán_familiar,00,4.72,1.76,151,3583,media,0,13,Turbo,5,Sí,142.5
RAM,700,seminuevo,2020,261300,suv,gasolina,automática,4,12.5,7,656,suv_mediano,0,4.89,1.85,163,5222,alta,100040,19,Turbo,5,Sí,173.1
Audi,e-tron,seminuevo,2019,271200,sedan,gasolina,automática,4,13.8,5,545,sedán_económico,0,4.36,1.78,143,9181,media,115242,14,Natural,5,No,143.4
GMC,Terrain,seminuevo,2023,342000,suv,eléctrico,automática,0,6.0,7,624,suv_mediano,Exento,5.01,1.84,167,4262,media,31378,22,Eléctrico,5,Sí,0.0
Nissan,Sentra,nuevo,2025,541400,sedan,gasolina,automática,3,17.8,5,418,compacto_urbano,00,4.47,1.81,145,3541,alta,0,16,Turbo,4,No,155.9
Renault,Kwid,seminuevo,2020,234500,pickup,gasolina,automática,6,10.4,2,1844,pickup,0,5.52,1.93,176,7389,alta,92900,21,Natural,5,No,196.0
Ford,Expedition,seminuevo,2020,153400,suv,gasolina,automática,3,14.3,5,425,suv_compacto,0,4.79,1.86,160,4968,alta,141585,21,Natural,4,Sí,171.0
BYD,Song Plus,seminuevo,2019,78900,pickup,gasolina,automática,6,10.0,5,1579,pickup,0,5.15,1.88,176,4031,media,101238,24,Natural,5,No,219.9
BYD,Qin DM-i,seminuevo,2023,237700,sedan,gasolina,automática,4,13.8,5,460,sedán_familiar,0,4.38,1.86,145,3768,media,57474,15,Natural,4,Sí,140.4
Suzuki,Vitara,seminuevo,2022,190500,hatchback,híbrido,automática,4,20.5,5,268,compacto_urbano,Exento,3.61,1.69,163,3300,alta,97851,16,Eléctrico,4,Sí,73.6
Suzuki,Vitara,seminuevo,2021,152000,hatchback,gasolina,manual,6,15.0,5,385,compacto_urbano,0,3.61,1.74,154,3550,alta,94664,14,Turbo,5,Sí,121.9
RAM,700,nuevo,2024,359800,suv,eléctrico,automática,0,5.5,7,658,suv_mediano,Exento,4.64,1.91,161,5734,media,0,18,Turbo,4,Sí,0.0
BYD,Atto 3,seminuevo,2023,235200,coupe,eléctrico,automática,0,6.4,5,428,sedán_eficiente,Exento,4.35,1.86,144,4209,media,68174,15,Turbo,4,Sí,0.0
BMW,X2,nuevo,2025,873100,sedan,gasolina,automática,6,14.7,5,426,sedán_familiar,00,4.85,1.86,148,10069,media,0,14,Turbo,4,Sí,124.4
Peugeot,3008,nuevo,2025,827400,pickup,híbrido,automática,6,24.5,5,1581,pickup,Exento,5.63,1.86,176,7927,alta,0,21,Turbo,4,Sí,95.1
Mitsubishi,Mirage G4,seminuevo,2019,134000,suv,gasolina,automática,4,16.0,7,579,suv_compacto,0,4.78,1.84,177,4113,alta,141354,22,Natural,3,Sí,199.6
GMC,Acadia,nuevo,2025,606400,suv,gasolina,manual,4,13.0,5,530,suv_compacto,00,4.24,1.84,176,4807,media,0,18,Turbo,4,Sí,181.1
Kia,Sportage,seminuevo,2023,521000,suv,híbrido,automática,4,21.2,7,683,suv_mediano,Exento,4.31,1.84,172,4712,media,56612,18,Turbo,4,Sí,72.5
GMC,Acadia,seminuevo,2023,323700,minivan,gasolina,automática,4,15.9,5,718,familiar_7plazas,0,4.38,1.88,185,3382,alta,45392,16,Natural,4,Sí,179.1
Chevrolet,Beat,seminuevo,2023,189300,sedan,gasolina,automática,6,16.4,5,583,compacto_urbano,0,4.57,1.76,144,3436,alta,57862,14,Turbo,5,No,159.8
Toyota,Prius,seminuevo,2021,258600,sedan,híbrido,manual,4,24.4,5,570,compacto_urbano,Exento,4.99,1.8,154,5067,alta,115932,16,Eléctrico,5,No,91.2
Dodge,Journey,nuevo,2025,470100,suv,híbrido,automática,4,21.9,5,540,suv_compacto,Exento,4.6,1.88,167,5375,media,0,18,Eléctrico,4,Sí,108.8
Skoda,Scala,nuevo,2025,631800,suv,gasolina,automática,4,13.8,7,612,suv_mediano,00,4.26,1.9,172,4080,media,0,18,Natural,4,No,203.0
Acura,TLX,seminuevo,2023,675300,suv,gasolina,automática,4,12.6,7,607,suv_mediano,0,4.85,1.9,164,9187,media,55822,22,Turbo,3,Sí,160.6
GMC,Terrain,nuevo,2025,394100,minivan,gasolina,automática,4,15.4,5,666,familiar_7plazas,00,4.59,1.94,177,4726,alta,0,15,Natural,3,Sí,196.0
Fiat,Argo,nuevo,2024,309900,sedan,híbrido,automática,3,25.6,5,451,sedán_eficiente,Exento,4.89,1.8,145,4939,alta,0,14,Turbo,5,Sí,97.3
Citroën,C4,nuevo,2024,363300,sedan,gasolina,automática,3,16.4,5,479,compacto_urbano,00,4.77,1.87,148,3311,alta,0,14,Turbo,5,Sí,141.5
Kia,Rio,seminuevo,2022,200400,coupe,gasolina,automática,3,16.0,5,487,deportivo,0,4.31,1.76,149,4775,alta,80604,15,Natural,4,Sí,130.7
JAC,T8,seminuevo,2022,288000,suv,gasolina,automática,3,13.6,7,524,suv_compacto,0,4.88,1.86,172,2558,media,76950,21,Natural,4,Sí,192.0
Volvo,XC40,nuevo,2024,918100,suv,gasolina,automática,4,16.3,5,523,suv_premium,00,4.85,1.85,167,8950,alta,0,21,Turbo,3,Sí,165.6
Mitsubishi,Outlander Sport,nuevo,2025,556100,suv,gasolina,manual,4,14.4,7,617,suv_mediano,00,5.1,1.86,171,5109,media,0,19,Turbo,5,Sí,181.7
Audi,A4,nuevo,2025,818300,coupe,eléctrico,automática,0,5.5,5,589,sedán_eficiente,Exento,4.64,1.82,154,9444,media,0,15,Turbo,4,Sí,0.0
Peugeot,3008,seminuevo,2019,150800,coupe,gasolina,automática,3,18.4,5,541,deportivo,0,4.5,1.87,152,3420,alta,92406,16,Natural,4,No,138.1
Volvo,S90,seminuevo,2019,234700,suv,gasolina,automática,3,14.1,5,695,suv_premium,0,4.77,1.79,164,10887,media,106746,18,Turbo,4,No,207.7
Mitsubishi,Xpander,seminuevo,2022,191900,minivan,gasolina,automática,4,18.5,7,695,familiar_7plazas,0,4.86,1.91,188,3851,alta,65742,15,Natural,4,Sí,203.8
Honda,Accord,seminuevo,2019,126100,pickup,gasolina,automática,6,11.1,5,1516,pickup,0,5.19,1.94,189,6956,alta,142008,25,Natural,4,Sí,190.5
Mitsubishi,L200,seminuevo,2020,199400,suv,gasolina,automática,3,13.2,7,691,suv_mediano,0,5.03,1.84,174,5648,media,156995,21,Natural,3,No,185.0
Chevrolet,Blazer,nuevo,2025,565700,suv,gasolina,automática,3,12.9,5,537,suv_compacto,00,4.72,1.89,165,6125,media,0,19,Turbo,4,No,168.9
Mazda,CX-50,seminuevo,2022,521000,pickup,gasolina,automática,6,11.3,2,1668,pickup,0,5.33,1.91,187,8253,alta,48606,20,Natural,4,Sí,216.5
Kia,Carnival,nuevo,2025,478400,coupe,gasolina,manual,4,15.6,5,448,deportivo,00,4.66,1.8,149,3211,alta,0,16,Turbo,4,Sí,154.8
Dodge,Charger,seminuevo,2023,273300,sedan,gasolina,manual,4,17.0,5,479,sedán_familiar,0,4.69,1.79,143,3464,alta,60240,14,Natural,5,Sí,131.9
Geely,Azkarra,seminuevo,2021,171200,pickup,gasolina,automática,6,9.9,2,1696,pickup,0,5.15,1.93,179,3065,media,104548,22,Natural,4,No,205.6
BMW,X5,nuevo,2025,657600,hatchback,gasolina,manual,4,15.2,5,391,compacto_urbano,00,4.13,1.64,155,9856,media,0,17,Turbo,4,Sí,144.4
Audi,e-tron,nuevo,2025,728400,pickup,gasolina,automática,6,11.8,2,1753,pickup,00,5.77,1.87,193,10562,media,0,20,Turbo,4,Sí,186.1
MG,MG HS,nuevo,2025,485200,hatchback,gasolina,manual,4,15.2,5,351,compacto_urbano,00,4.05,1.75,162,4454,media,0,14,Turbo,3,Sí,150.5
Mercedes-Benz,Clase C,nuevo,2025,573700,sedan,gasolina,automática,6,17.0,5,425,sedán_familiar,00,4.61,1.82,142,8328,media,0,15,Natural,4,Sí,141.6
Suzuki,Ertiga,seminuevo,2022,206300,hatchback,gasolina,automática,3,16.5,5,347,compacto_urbano,0,4.03,1.61,163,3951,alta,90330,17,Natural,5,Sí,151.1
Chrysler,300,nuevo,2024,381000,coupe,gasolina,automática,4,18.2,5,550,deportivo,00,4.51,1.87,153,4871,alta,0,15,Natural,4,Sí,141.2
Suzuki,S-Cross,nuevo,2024,635400,suv,gasolina,automática,6,13.7,7,540,suv_compacto,00,4.21,1.9,161,6034,media,0,22,Natural,4,Sí,160.0
Jeep,Gladiator,nuevo,2025,318500,hatchback,híbrido,automática,6,23.2,5,329,compacto_urbano,Exento,4.15,1.56,156,3369,alta,0,16,Turbo,4,Sí,83.0
Ford,F-150,seminuevo,2022,266100,coupe,gasolina,automática,4,14.8,5,523,deportivo,0,4.98,1.74,155,3471,alta,91038,15,Natural,5,No,120.8
Citroën,C3,nuevo,2025,573300,pickup,gasolina,automática,6,10.9,5,1688,pickup,00,5.54,1.94,193,7521,alta,0,25,Turbo,4,Sí,217.2
Audi,Q3,nuevo,2024,702700,sedan,híbrido,manual,6,20.4,5,504,sedán_eficiente,Exento,4.38,1.69,142,9017,media,0,14,Eléctrico,4,No,105.1
Citroën,Berlingo,nuevo,2024,485000,hatchback,gasolina,automática,4,16.6,5,321,compacto_urbano,00,3.62,1.64,159,3967,alta,0,14,Turbo,4,Sí,153.3
Toyota,Tundra,seminuevo,2021,317100,suv,gasolina,manual,3,15.2,5,425,suv_compacto,0,4.91,1.81,164,4840,alta,132640,22,Natural,4,No,175.4
MG,MG RX5,seminuevo,2019,131500,suv,gasolina,automática,4,13.5,5,456,suv_compacto,0,4.79,1.78,160,4117,media,205770,18,Natural,4,Sí,162.9
Ford,Bronco Sport,seminuevo,2022,234200,coupe,gasolina,automática,4,15.7,5,492,deportivo,0,4.66,1.7,150,3177,alta,96258,17,Turbo,3,Sí,155.1
JAC,T8,seminuevo,2022,287900,sedan,gasolina,manual,3,18.0,5,482,compacto_urbano,0,4.4,1.71,151,3280,baja,97155,16,Turbo,5,No,157.9
Hyundai,Accent,nuevo,2025,468300,coupe,eléctrico,automática,0,6.1,5,458,sedán_eficiente,Exento,4.59,1.85,148,3389,alta,0,17,Turbo,5,Sí,0.0
Citroën,C4,nuevo,2024,289800,minivan,gasolina,automática,3,14.0,5,740,familiar_7plazas,00,4.96,1.95,182,5402,alta,0,17,Turbo,3,No,164.3
Fiat,Pulse,nuevo,2025,314900,sedan,gasolina,manual,4,15.3,5,547,compacto_urbano,00,4.45,1.81,145,4434,alta,0,15,Turbo,4,Sí,139.4
GMC,Sierra,nuevo,2024,611500,suv,gasolina,automática,4,15.3,7,573,suv_compacto,00,4.52,1.81,164,5641,alta,0,18,Turbo,5,Sí,163.5
Skoda,Kodiaq,seminuevo,2023,515600,suv,gasolina,automática,4,15.4,5,426,suv_compacto,0,4.34,1.89,161,4334,media,59038,21,Turbo,4,No,198.0
RAM,2500,nuevo,2025,408900,coupe,gasolina,automática,4,14.1,5,573,deportivo,00,4.77,1.78,152,3186,alta,0,17,Turbo,3,Sí,150.6
Seat,Ateca,seminuevo,2021,283500,hatchback,gasolina,automática,4,14.1,5,377,compacto_urbano,0,4.12,1.59,157,3942,alta,125568,16,Natural,4,No,125.1
Chevrolet,Blazer,seminuevo,2019,78100,minivan,gasolina,automática,4,15.6,7,731,familiar_7plazas,0,4.88,1.83,177,4330,alta,123786,17,Natural,4,Sí,183.8
Suzuki,S-Cross,nuevo,2024,413700,pickup,gasolina,automática,4,10.4,5,1881,pickup,00,5.27,1.89,180,8090,alta,0,24,Turbo,4,Sí,202.0
Fiat,Argo,seminuevo,2021,273600,sedan,gasolina,automática,4,14.4,5,439,sedán_familiar,0,4.83,1.81,144,4900,alta,133888,16,Turbo,5,No,130.6
Audi,Q7,seminuevo,2020,318900,minivan,gasolina,manual,4,16.7,7,701,familiar_7plazas,0,4.35,1.88,174,8851,media,84320,17,Natural,5,Sí,203.6
Geely,Okavango,seminuevo,2023,405900,coupe,eléctrico,automática,0,6.1,5,546,sedán_eficiente,Exento,4.76,1.74,149,2808,media,59524,16,Eléctrico,5,Sí,0.0
Chevrolet,Beat,nuevo,2025,419100,minivan,gasolina,manual,4,16.5,7,645,familiar_7plazas,00,5.13,1.85,189,5448,alta,0,17,Turbo,4,Sí,181.2
Skoda,Octavia,seminuevo,2021,165200,hatchback,gasolina,automática,4,16.8,5,339,compacto_urbano,0,3.82,1.7,157,5437,alta,71104,17,Turbo,4,Sí,128.5
BAIC,X25,nuevo,2024,375700,pickup,gasolina,automática,6,9.1,5,1592,pickup,00,5.76,1.89,190,2963,media,0,20,Natural,3,Sí,201.6
Volvo,XC90,seminuevo,2020,310800,pickup,gasolina,automática,4,9.6,2,1869,pickup,0,5.35,1.9,182,9500,media,148550,24,Natural,4,No,209.2
Renault,Logan,nuevo,2024,314200,minivan,gasolina,automática,4,16.0,7,797,familiar_7plazas,00,4.45,1.81,184,4024,alta,0,18,Natural,5,Sí,170.1
BAIC,X25,seminuevo,2021,272100,sedan,gasolina,automática,4,18.0,5,437,sedán_familiar,0,4.36,1.86,155,4311,media,63492,13,Natural,5,No,132.5
